,united_states (3 month)
2002-01-01,0.0174
2002-02-01,0.0182
2002-03-01,0.0191
2002-04-01,0.0187
2002-05-01,0.0182
2002-06-01,0.0181
2002-07-01,0.0179
2002-08-01,0.0173
2002-09-01,0.0176
2002-10-01,0.0173
2002-11-01,0.0139
2002-12-01,0.0134
2003-01-01,0.0129
2003-02-01,0.0127
2003-03-01,0.0123
2003-04-01,0.0124
2003-05-01,0.012199999999999999
2003-06-01,0.0104
2003-07-01,0.0105
2003-08-01,0.0108
2003-09-01,0.0108
2003-10-01,0.011000000000000001
2003-11-01,0.0111
2003-12-01,0.011000000000000001
2004-01-01,0.0106
2004-02-01,0.0105
2004-03-01,0.0105
2004-04-01,0.0108
2004-05-01,0.012
2004-06-01,0.0146
2004-07-01,0.015700000000000002
2004-08-01,0.0168
2004-09-01,0.018600000000000002
2004-10-01,0.0204
2004-11-01,0.0226
2004-12-01,0.0245
2005-01-01,0.026099999999999998
2005-02-01,0.0277
2005-03-01,0.0297
2005-04-01,0.030899999999999997
2005-05-01,0.0322
2005-06-01,0.0338
2005-07-01,0.035699999999999996
2005-08-01,0.0377
2005-09-01,0.0387
2005-10-01,0.041299999999999996
2005-11-01,0.0431
2005-12-01,0.044500000000000005
2006-01-01,0.045599999999999995
2006-02-01,0.0472
2006-03-01,0.048799999999999996
2006-04-01,0.050300000000000004
2006-05-01,0.051500000000000004
2006-06-01,0.0535
2006-07-01,0.0546
2006-08-01,0.0538
2006-09-01,0.053399999999999996
2006-10-01,0.0533
2006-11-01,0.053200000000000004
2006-12-01,0.053200000000000004
2007-01-01,0.053200000000000004
2007-02-01,0.053099999999999994
2007-03-01,0.053
2007-04-01,0.053099999999999994
2007-05-01,0.053099999999999994
2007-06-01,0.0533
2007-07-01,0.053200000000000004
2007-08-01,0.054900000000000004
2007-09-01,0.0546
2007-10-01,0.0508
2007-11-01,0.049699999999999994
2007-12-01,0.050199999999999995
2008-01-01,0.0384
2008-02-01,0.030600000000000002
2008-03-01,0.0279
2008-04-01,0.0285
2008-05-01,0.026600000000000002
2008-06-01,0.0276
2008-07-01,0.0279
2008-08-01,0.0279
2008-09-01,0.0359
2008-10-01,0.0432
2008-11-01,0.0236
2008-12-01,0.0177
2009-01-01,0.0102
2009-02-01,0.0116
2009-03-01,0.010700000000000001
2009-04-01,0.0089
2009-05-01,0.005699999999999999
2009-06-01,0.0039000000000000003
2009-07-01,0.0034999999999999996
2009-08-01,0.003
2009-09-01,0.0025
2009-10-01,0.0024
2009-11-01,0.0021
2009-12-01,0.0022
2010-01-01,0.002
2010-02-01,0.0019
2010-03-01,0.0023
2010-04-01,0.003
2010-05-01,0.0045000000000000005
2010-06-01,0.0052
2010-07-01,0.0040999999999999995
2010-08-01,0.0032
2010-09-01,0.0028000000000000004
2010-10-01,0.0027
2010-11-01,0.0027
2010-12-01,0.003
2011-01-01,0.0029
2011-02-01,0.0028000000000000004
2011-03-01,0.0028000000000000004
2011-04-01,0.0023
2011-05-01,0.0021
2011-06-01,0.0022
2011-07-01,0.0024
2011-08-01,0.0029
2011-09-01,0.0033
2011-10-01,0.0037
2011-11-01,0.0040999999999999995
2011-12-01,0.0049
2012-01-01,0.004
2012-02-01,0.003
2012-03-01,0.0029
2012-04-01,0.0029
2012-05-01,0.0029
2012-06-01,0.0032
2012-07-01,0.003
2012-08-01,0.0026
2012-09-01,0.0024
2012-10-01,0.0023
2012-11-01,0.0023
2012-12-01,0.0024
2013-01-01,0.0023
2013-02-01,0.0022
2013-03-01,0.0021
2013-04-01,0.002
2013-05-01,0.002
2013-06-01,0.0019
2013-07-01,0.0014000000000000002
2013-08-01,0.0012
2013-09-01,0.0011
2013-10-01,0.0012
2013-11-01,0.0012
2013-12-01,0.0014000000000000002
2014-01-01,0.0012
2014-02-01,0.0013
2014-03-01,0.0012
2014-04-01,0.0012
2014-05-01,0.0011
2014-06-01,0.0011
2014-07-01,0.0013
2014-08-01,0.0013
2014-09-01,0.0012
2014-10-01,0.0012
2014-11-01,0.0013
2014-12-01,0.0015
2015-01-01,0.0016
2015-02-01,0.0015
2015-03-01,0.0014000000000000002
2015-04-01,0.0013
2015-05-01,0.0015
2015-06-01,0.0018
2015-07-01,0.0019
2015-08-01,0.0026
2015-09-01,0.0027
2015-10-01,0.0025
2015-11-01,0.003
2015-12-01,0.0054
2016-01-01,0.005699999999999999
2016-02-01,0.0054
2016-03-01,0.0055000000000000005
2016-04-01,0.0055000000000000005
2016-05-01,0.005699999999999999
2016-06-01,0.0055000000000000005
2016-07-01,0.0062
2016-08-01,0.0073
2016-09-01,0.0075
2016-10-01,0.0072
2016-11-01,0.0070999999999999995
2016-12-01,0.0087
2017-01-01,0.009000000000000001
2017-02-01,0.0087
2017-03-01,0.0098
2017-04-01,0.0103
2017-05-01,0.0105
2017-06-01,0.0116
2017-07-01,0.012199999999999999
2017-08-01,0.0125
2017-09-01,0.0125
2017-10-01,0.0126
2017-11-01,0.0132
2017-12-01,0.0154
2018-01-01,0.0163
2018-02-01,0.0178
2018-03-01,0.0208
2018-04-01,0.022000000000000002
2018-05-01,0.0216
2018-06-01,0.0219
2018-07-01,0.0217
2018-08-01,0.0219
2018-09-01,0.022400000000000003
2018-10-01,0.023700000000000002
2018-11-01,0.0256
2018-12-01,0.0269
2019-01-01,0.0259
2019-02-01,0.024900000000000002
2019-03-01,0.0248
2019-04-01,0.024700000000000003
2019-05-01,0.024399999999999998
2019-06-01,0.023
2019-07-01,0.0222
2019-08-01,0.0206
2019-09-01,0.0203
2019-10-01,0.018799999999999997
2019-11-01,0.0177
2019-12-01,0.0176
2020-01-01,0.0165
2020-02-01,0.0159
2020-03-01,0.013500000000000002
2020-05-01,0.0017000000000000001
2020-06-01,0.002
2020-07-01,0.0018
2020-08-01,0.0015
2020-09-01,0.0013
2020-10-01,0.0012
2020-11-01,0.0016
2020-12-01,0.0017000000000000001
2021-01-01,0.0014000000000000002
2021-02-01,0.0011
2021-03-01,0.001
2021-04-01,0.0011
2021-05-01,0.001
2021-06-01,0.0009
2021-07-01,0.001
2021-08-01,0.001
2021-09-01,0.001
2021-10-01,0.0011
2021-11-01,0.0014000000000000002
2021-12-01,0.0017000000000000001
2022-01-01,0.0022
2022-02-01,0.0038
2022-03-01,0.0073
2022-04-01,0.0091
2022-05-01,0.013300000000000001
2022-06-01,0.0187
2022-07-01,0.025
2022-08-01,0.0276
2022-09-01,0.0321
2022-10-01,0.0385
2022-11-01,0.0446
2022-12-01,0.0451
2023-01-01,0.0461
2023-02-01,0.047400000000000005
2023-03-01,0.049100000000000005
2023-04-01,0.050300000000000004
2023-05-01,0.051500000000000004
2023-06-01,0.052199999999999996
2023-07-01,0.0535
2023-08-01,0.054400000000000004
2023-09-01,0.054900000000000004
2023-10-01,0.0546
2023-11-01,0.0541
