,france (3 month)
1993-01-01,0.121036
1993-02-01,0.120578
1993-03-01,0.11291999999999999
1993-04-01,0.09099600000000001
1993-05-01,0.076392
1993-06-01,0.073169
1993-07-01,0.080968
1993-08-01,0.07928099999999999
1993-09-01,0.072893
1993-10-01,0.06979099999999999
1993-11-01,0.06721
1993-12-01,0.065189
1994-01-01,0.063185
1994-02-01,0.06299199999999999
1994-03-01,0.06247
1994-04-01,0.060139
1994-05-01,0.056420000000000005
1994-06-01,0.055647
1994-07-01,0.056413000000000005
1994-08-01,0.055989000000000004
1994-09-01,0.056268000000000006
1994-10-01,0.056477000000000006
1994-11-01,0.056119
1994-12-01,0.059482
1995-01-01,0.059223
1995-02-01,0.05815699999999999
1995-03-01,0.08064299999999999
1995-04-01,0.077796
1995-05-01,0.074723
1995-06-01,0.07195599999999999
1995-07-01,0.064612
1995-08-01,0.05942
1995-09-01,0.059635
1995-10-01,0.068688
1995-11-01,0.058904
1995-12-01,0.055625
1996-01-01,0.046996
1996-02-01,0.044096
1996-03-01,0.042709000000000004
1996-04-01,0.039982000000000004
1996-05-01,0.039046
1996-06-01,0.039671
1996-07-01,0.038392
1996-08-01,0.039608
1996-09-01,0.037494
1996-10-01,0.035144
1996-11-01,0.034691
1996-12-01,0.034446
1997-01-01,0.033532
1997-02-01,0.033303
1997-03-01,0.033645999999999995
1997-04-01,0.033996
1997-05-01,0.034777999999999996
1997-06-01,0.034323
1997-07-01,0.033907
1997-08-01,0.034274
1997-09-01,0.034098
1997-10-01,0.035904
1997-11-01,0.036873
1997-12-01,0.036906
1998-01-01,0.036184
1998-02-01,0.035686
1998-03-01,0.035694
1998-04-01,0.036273
1998-05-01,0.036073
1998-06-01,0.035716
1998-07-01,0.035634
1998-08-01,0.035578
1998-09-01,0.035373999999999996
1998-10-01,0.035554999999999996
1998-11-01,0.035856
1998-12-01,0.03323
1999-01-01,0.031321
1999-02-01,0.030934
1999-03-01,0.030467
1999-04-01,0.026965
1999-05-01,0.02579
1999-06-01,0.026267
1999-07-01,0.026764999999999997
1999-08-01,0.026949999999999998
1999-09-01,0.027267
1999-10-01,0.033757
1999-11-01,0.034677
1999-12-01,0.034460000000000005
2000-01-01,0.033431
2000-02-01,0.035368
2000-03-01,0.037469999999999996
2000-04-01,0.039253
2000-05-01,0.04362
2000-06-01,0.045016999999999995
2000-07-01,0.045829
2000-08-01,0.047771
2000-09-01,0.048528
2000-10-01,0.050413
2000-11-01,0.05091999999999999
2000-12-01,0.049392
2001-01-01,0.047707
2001-02-01,0.047557999999999996
2001-03-01,0.047085999999999996
2001-04-01,0.04682
2001-05-01,0.046367000000000005
2001-06-01,0.044536
2001-07-01,0.044671
